repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,packages/coding-agent/examples/extensions/github-issue-autocomplete.ts,source,5282,185,1320,1509
pi,packages/coding-agent/examples/extensions/gondolin/.gitignore,config,14,1,4,4
pi,packages/coding-agent/examples/extensions/gondolin/index.ts,source,16647,531,4162,4756
pi,packages/coding-agent/examples/extensions/gondolin/package-lock.json,config,6045,185,1511,1727
pi,packages/coding-agent/examples/extensions/gondolin/package.json,config,340,19,85,97
pi,packages/coding-agent/examples/extensions/handoff.ts,source,6135,191,1534,1753
pi,packages/coding-agent/examples/extensions/hello.ts,source,640,26,160,183
pi,packages/coding-agent/examples/extensions/hidden-thinking-label.ts,source,1451,53,363,415
pi,packages/coding-agent/examples/extensions/inline-bash.ts,source,2958,94,740,845
pi,packages/coding-agent/examples/extensions/input-transform-streaming.ts,source,1213,39,303,346
pi,packages/coding-agent/examples/extensions/input-transform.ts,source,1444,43,360,411
pi,packages/coding-agent/examples/extensions/interactive-shell.ts,source,4788,196,1197,1368
pi,packages/coding-agent/examples/extensions/mac-system-theme.ts,source,1197,47,299,342
pi,packages/coding-agent/examples/extensions/message-renderer.ts,source,1910,59,478,546
pi,packages/coding-agent/examples/extensions/minimal-mode.ts,source,13938,426,3483,3981
pi,packages/coding-agent/examples/extensions/modal-editor.ts,source,2417,85,603,689
pi,packages/coding-agent/examples/extensions/model-status.ts,source,957,31,238,272
pi,packages/coding-agent/examples/extensions/notify.ts,source,1912,55,478,546
pi,packages/coding-agent/examples/extensions/overlay-qa-tests.ts,source,46148,1450,11442,13076
pi,packages/coding-agent/examples/extensions/overlay-test.ts,source,5496,153,1326,1515
pi,packages/coding-agent/examples/extensions/permission-gate.ts,source,1019,34,254,290
pi,packages/coding-agent/examples/extensions/pirate.ts,source,1461,47,365,417
pi,packages/coding-agent/examples/extensions/plan-mode/README.md,docs,1963,65,491,561
pi,packages/coding-agent/examples/extensions/plan-mode/index.ts,source,10680,340,2666,3047
pi,packages/coding-agent/examples/extensions/plan-mode/utils.ts,source,4129,168,1032,1180
pi,packages/coding-agent/examples/extensions/preset.ts,source,14435,436,3607,4122
pi,packages/coding-agent/examples/extensions/project-trust.ts,source,2131,64,533,609
pi,packages/coding-agent/examples/extensions/prompt-customizer.ts,source,3061,97,763,872
pi,packages/coding-agent/examples/extensions/protected-paths.ts,source,808,30,202,231
pi,packages/coding-agent/examples/extensions/provider-payload.ts,source,764,18,191,218
pi,packages/coding-agent/examples/extensions/qna.ts,source,3743,122,936,1069
